# 肺癌 (Non-small-cell lung cancer)
# ICD-11代码: 2C25
TARGETID	GENENAME	TARGTYPE	TARGNAME
T50594	PIM1	Clinical trial	Serine/threonine-protein kinase pim-1 (PIM1)
T50823	SEMA4D	Clinical trial	Semaphorin-4D (SEMA4D)
T51076	NTRK3	Successful	NT-3 growth factor receptor (TrkC)
T51693	MAGEA3	Clinical trial	Melanoma-associated antigen 3 (MAGEA3)
T51883	ARAF; BRAF; RAF1	Clinical trial	Serine/threonine-protein kinase Raf (RAF)
T52316	RAF1	Clinical trial	Raf messenger RNA (Raf mRNA)
T52450	MMP1	Successful	Matrix metalloproteinase-1 (MMP-1)
T52624	N/A	Successful	Platelet-derived growth factor receptor (PDGFR)
T52624	N/A	Successful	Platelet-derived growth factor receptor (PDGFR)
T53024	SSTR2	Successful	Somatostatin receptor type 2 (SSTR2)
T53389	TGFBR1	Clinical trial	TGF-beta receptor type I (TGFBR1)
T53524	PDGFRA	Successful	Platelet-derived growth factor receptor alpha (PDGFRA)
T53764	FAP	Clinical trial	Prolyl endopeptidase FAP (FAP)
T54156	MMP9	Clinical trial	Matrix metalloproteinase-9 (MMP-9)
T56418	ALK	Successful	ALK tyrosine kinase receptor (ALK)
T56418	ALK	Successful	ALK tyrosine kinase receptor (ALK)
T56510	BCL2L1	Clinical trial	Apoptosis regulator Bcl-xL (BCL-xL)
T57700	KIT	Successful	Tyrosine-protein kinase Kit (KIT)
T57718	MAGEC2	Clinical trial	Melanoma-associated antigen C2 (MAGEC2)
T58238	CD80	Successful	Activation B7-1 antigen (CD80)
T58449	CDK7	Clinical trial	Cyclin-dependent kinase 7 (CDK7)
T59102	PDGFRB	Successful	Platelet-derived growth factor receptor beta (PDGFRB)
T59328	EGFR	Successful	Epidermal growth factor receptor (EGFR)
T59328	EGFR	Successful	Epidermal growth factor receptor (EGFR)
T59480	KRAS	Successful	KRAS G12C mutant (KRAS G12C)
T59480	KRAS	Successful	KRAS G12C mutant (KRAS G12C)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T60345	N/A	Successful	T-cell surface glycoprotein CD3 (CD3)
T60345	N/A	Successful	T-cell surface glycoprotein CD3 (CD3)
T60631	RET	Successful	Proto-oncogene c-Ret (RET)
T61698	IL2	Successful	Interleukin-2 (IL2)
T62449	CHEK1	Clinical trial	Checkpoint kinase-1 (CHK1)
T62460	JAK1	Successful	Janus kinase 1 (JAK-1)
T63178	MAGEA10	Clinical trial	Melanoma-associated antigen 10 (MAGEA10)
T64969	EGFR	Clinical trial	Epidermal growth factor receptor variant III (EGFR vIII)
T65755	N/A	Successful	Histone deacetylase (HDAC)
T65868	N/A	Successful	RNA synthesis (hRNA synth)
T66665	PTGS2	Successful	Prostaglandin G/H synthase 2 (COX-2)
T67162	DRD2	Successful	Dopamine D2 receptor (D2R)
T67801	LTF	Clinical trial	Lactotransferrin (LTF)
T68251	MMP2	Successful	Matrix metalloproteinase-2 (MMP-2)
T68517	HSPB3	Clinical trial	Heat shock protein 27 (HSP27)
T68536	N/A	Successful	Tubulin beta (TUBB)
T68547	HDAC1	Successful	Histone deacetylase 1 (HDAC1)
T69128	ROS1	Successful	Proto-oncogene c-Ros (ROS1)
T69128	ROS1	Successful	Proto-oncogene c-Ros (ROS1)
T69707	N/A	Successful	Proteasome (PS)
T70176	CDK2	Clinical trial	Cyclin-dependent kinase 2 (CDK2)
T70176	CDK2	Clinical trial	Cyclin-dependent kinase 2 (CDK2)
T70508	N/A	Clinical trial	Cyclin-dependent kinase (CDK)
T71086	CFH	Clinical trial	Complement factor H (CFH)
T71164	N/A	Clinical trial	Ganglioside GD2 (GD2)
T71167	N/A	Clinical trial	Oxysterols receptor LXR (NR1H)
T71536	N/A	Successful	Human Deoxyribonucleic acid minor groove (hDNA min)
T73475	MMP7	Successful	Matrix metalloproteinase-7 (MMP-7)
T74312	FLT3	Successful	Fms-like tyrosine kinase 3 (FLT-3)
T74381	MAGEC1	Clinical trial	Cancer/testis antigen MAGE-C1/CT7 (MAGEC1)
T75243	MTOR	Successful	Serine/threonine-protein kinase mTOR (mTOR)
T75716	DLL3	Clinical trial	Delta-like protein 3 (DLL3)
T76233	Hepatitis A virus HAVCR2	Clinical trial	Hepatitis A virus cellular receptor 2 (TIM3)
T77365	ADORA2A	Successful	Adenosine A2a receptor (ADORA2A)
T77645	TNFRSF10A	Clinical trial	TRAIL receptor 1 (TRAIL-R1)
T78114	CD55	Clinical trial	Complement decay-accelerating factor (CD55)
T78874	N/A	Clinical trial	Protein kinase (PK)
T80011	EIF4EBP2	Clinical trial	eIF4E-BP2 messenger RNA (eIF4E-BP2 mRNA)
T80975	KDR	Successful	Vascular endothelial growth factor receptor 2 (KDR)
T80975	KDR	Successful	Vascular endothelial growth factor receptor 2 (KDR)
T81311	HSP90B1	Clinical trial	Endoplasmin (HSP90B1)
T82083	P2RY4	Discontinued	P2Y purinoceptor 4 (P2RY4)
T82277	CTAG1A	Clinical trial	Cancer/testis antigen 1 (NY-ESO-1)
T82383	AXL	Successful	Tyrosine-protein kinase UFO (AXL)
T83376	TUSC2	Clinical trial	Tumor suppressor candidate 2 (TUSC2)
T83386	FOLR1	Successful	Folate receptor alpha (FOLR1)
T83797	HGF	Clinical trial	Hepatocyte growth factor (HGF)
T84397	TUBB1	Clinical trial	Tubulin beta-1 chain (TUBB1)
T84591	EIF2B1; EIF2B2	Clinical trial	Guanine nucleotide exchange factor (GNEF)
T84703	NTRK2	Successful	BDNF/NT-3 growth factors receptor (TrkB)
T85507	SIGLEC15	Clinical trial	Sialic acid-binding immunoglobulin-like lectin 15 (SIGLEC15)
T85799	CDK4	Successful	Cyclin-dependent kinase 4 (CDK4)
T86052	TERT	Clinical trial	Telomerase reverse transcriptase (TERT)
T86161	PREP	Clinical trial	Prolyl endopeptidase (PREP)
T86350	ERBB3	Clinical trial	Erbb3 tyrosine kinase receptor (Erbb-3)
T86428	FNTB	Literature-reported	CAAX farnesyltransferase beta (FNTB)
T86679	ADORA2B	Successful	Adenosine A2b receptor (ADORA2B)
T86836	N/A	Successful	Human Deoxyribonucleic acid (hDNA)
T87108	MSLN	Clinical trial	Mesothelin (MSLN)
T87108	MSLN	Clinical trial	Mesothelin (MSLN)
T87675	AURKA	Clinical trial	Aurora kinase A (AURKA)
T88304	DNMT1	Clinical trial	DNA [cytosine-5]-methyltransferase 1 (DNMT1)
T88505	NFE2L2	Successful	Nuclear factor erythroid 2-related factor 2 (Nrf2)
T88656	NOTCH2	Clinical trial	Notch-2 receptor (NOTCH2)
T88806	ITGA5-ITGB1	Clinical trial	Integrin alpha-5/beta-1 (ITGA5/B1)
T89055	MAP2K2	Clinical trial	ERK activator kinase 2 (MEK2)
T89361	CDK6	Successful	Cyclin-dependent kinase 6 (CDK6)
T89697	IDO1	Successful	Indoleamine 2,3-dioxygenase 1 (IDO1)
T90782	P2RY6	Clinical trial	P2Y purinoceptor 6 (P2RY6)
T90848	N/A	Successful	HGF/Met signaling pathway (HGF/Met pathway)
T92057	ERBB4	Successful	Erbb4 tyrosine kinase receptor (Erbb-4)
T92689	P2RY11	Discontinued	P2Y purinoceptor 11 (P2RY11)
T93515	P2RY2	Clinical trial	P2Y purinoceptor 2 (P2RY2)
T93662	N/A	Successful	Hyaluronidase (HYAL)
T93923	TNFRSF9	Clinical trial	Co-stimulatory molecule 4-1BB (CD137)
T94692	LDLR	Successful	Low-density lipoprotein receptor (LDL-R)
T94718	LAG3	Successful	Lymphocyte activation gene 3 protein (LAG3)
T95289	N/A	Clinical trial	Retinoic acid receptor RXR (RXR)
T95899	CLU	Clinical trial	Clusterin messenger RNA (Clusterin mRNA)
T96144	TOP2A; TOP2B	Successful	DNA topoisomerase II (TOP2)
T96623	HSP90AB1	Clinical trial	Heat shock protein 90 beta (HSP90B)
T96721	N/A	Successful	Vascular endothelial growth factor (VEGF)
T96721	N/A	Successful	Vascular endothelial growth factor (VEGF)
T97071	FOLH1	Successful	Glutamate carboxypeptidase II (GCPII)
T97155	ATR	Clinical trial	Serine/threonine-protein kinase ATR (FRP1)
T97196	ATM	Clinical trial	ATM serine/threonine kinase (ATM)
T97257	TGFB1	Successful	Transforming growth factor beta 1 (TGFB1)
T97766	CD47	Clinical trial	Leukocyte surface antigen CD47 (CD47)
T98798	SLC34A2	Clinical trial	Sodium/phosphate cotransporter 2B (SLC34A2)
T99566	N/A	Clinical trial	Free radical (FRD)
T99948	CD274	Successful	Programmed cell death 1 ligand 1 (PD-L1)
T99948	CD274	Successful	Programmed cell death 1 ligand 1 (PD-L1)
