# 乳腺癌 (Breast cancer)
# ICD-11代码: 2C60-2C6Y
TARGETID	GENENAME	TARGTYPE	TARGNAME
T53251	EHMT2	Preclinical	Histone-lysine N-methyltransferase EHMT2 (EHMT2)
T53378	CA4	Successful	Carbonic anhydrase IV (CA-IV)
T53524	PDGFRA	Successful	Platelet-derived growth factor receptor alpha (PDGFRA)
T55860	TNFSF4	Clinical trial	TAX transcriptionally-activated glycoprotein 1 (OX40)
T56418	ALK	Successful	ALK tyrosine kinase receptor (ALK)
T58449	CDK7	Clinical trial	Cyclin-dependent kinase 7 (CDK7)
T58454	FGFR2	Successful	Fibroblast growth factor receptor 2 (FGFR2)
T58772	MTOR-RPTORA-MLST8-KT1S1-DEPTOR	Clinical trial	Mammalian target of rapamycin complex 1 (mTORC1)
T59328	EGFR	Successful	Epidermal growth factor receptor (EGFR)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T59955	N/A	Clinical trial	Progesterone (PG)
T60345	N/A	Successful	T-cell surface glycoprotein CD3 (CD3)
T60631	RET	Successful	Proto-oncogene c-Ret (RET)
T60930	IGF1	Clinical trial	Insulin-like growth factor-I (IGF1)
T61518	MELK	Clinical trial	Tyrosine-protein kinase MELK (MELK)
T61683	XIAP; BIRC2; BIRC3; NAIP; BIRC5; BIRC7	Clinical trial	Inhibitor of apoptosis protein (hIAP)
T62449	CHEK1	Clinical trial	Checkpoint kinase-1 (CHK1)
T62739	STMN1	Clinical trial	STMN1 messenger RNA (STMN1 mRNA)
T63175	KAT6A	Clinical trial	Histone acetyltransferase KAT6A (KAT6A)
T63505	ABL1	Successful	Tyrosine-protein kinase ABL1 (ABL)
T64567	CA9	Clinical trial	Carbonic anhydrase IX (CA-IX)
T65755	N/A	Successful	Histone deacetylase (HDAC)
T66030	N/A	Successful	Natural killer cell activation (NKA)
T67162	DRD2	Successful	Dopamine D2 receptor (D2R)
T67619	AKT1	Successful	RAC-alpha serine/threonine-protein kinase (AKT1)
T67849	PIK3CD	Successful	PI3-kinase delta (PIK3CD)
T68517	HSPB3	Clinical trial	Heat shock protein 27 (HSP27)
T68536	N/A	Successful	Tubulin beta (TUBB)
T68547	HDAC1	Successful	Histone deacetylase 1 (HDAC1)
T68887	NMBR; GRPR; BRS3	Clinical trial	Bombesin receptor (BS)
T69128	ROS1	Successful	Proto-oncogene c-Ros (ROS1)
T70176	CDK2	Clinical trial	Cyclin-dependent kinase 2 (CDK2)
T70508	N/A	Clinical trial	Cyclin-dependent kinase (CDK)
T71266	AKT3	Successful	RAC-gamma serine/threonine-protein kinase (AKT3)
T71374	PLK4	Literature-reported	Polo-like kinase 4 (PLK4)
T71536	N/A	Successful	Human Deoxyribonucleic acid minor groove (hDNA min)
T72458	MC4R	Successful	Melanocortin receptor 4 (MC4R)
T72835	SELE	Clinical trial	E-selectin (SELE)
T73184	SETD7	Literature-reported	Histone-lysine N-methyltransferase SETD7 (SETD7)
T75041	N/A	Successful	Tumor-associated glycoprotein 72 (TAG-72)
T75243	MTOR	Successful	Serine/threonine-protein kinase mTOR (mTOR)
T75498	NQO2	Successful	Quinone reductase 2 (NQO2)
T78874	N/A	Clinical trial	Protein kinase (PK)
T80002	LY75	Clinical trial	Lymphocyte antigen 75 (LY75)
T80276	PIK3CA	Successful	PI3-kinase alpha (PIK3CA)
T80896	ESR2	Successful	Estrogen receptor beta (ESR2)
T80975	KDR	Successful	Vascular endothelial growth factor receptor 2 (KDR)
T81905	N/A	Successful	Histamine receptor (HR)
T82383	AXL	Successful	Tyrosine-protein kinase UFO (AXL)
T82393	ADAM17	Clinical trial	TNF alpha converting enzyme (ADAM17)
T82665	PRMT5	Clinical trial	Protein arginine methyltransferase 5 (PRMT5)
T83059	N/A	Clinical trial	Tankyrase (TNKS)
T84621	CYP11B1	Successful	Steroid 11-beta-hydroxylase (CYP11B1)
T84703	NTRK2	Successful	BDNF/NT-3 growth factors receptor (TrkB)
T85435	INSR	Successful	Insulin receptor (INSR)
T85544	MAPKAP1	Clinical trial	Target of rapamycin complex 2 MAPKAP1 (MTORC2)
T85733	TOP2B	Successful	DNA topoisomerase II beta (TOP2B)
T85799	CDK4	Successful	Cyclin-dependent kinase 4 (CDK4)
T85943	SRC	Successful	Proto-oncogene c-Src (SRC)
T86052	TERT	Clinical trial	Telomerase reverse transcriptase (TERT)
T86350	ERBB3	Clinical trial	Erbb3 tyrosine kinase receptor (Erbb-3)
T86734	GLS; GLS2	Clinical trial	Glutaminase (GLS)
T86836	N/A	Successful	Human Deoxyribonucleic acid (hDNA)
T87075	CD3E	Successful	T-cell surface glycoprotein CD3 epsilon (CD3E)
T87108	MSLN	Clinical trial	Mesothelin (MSLN)
T87675	AURKA	Clinical trial	Aurora kinase A (AURKA)
T87946	N/A	Clinical trial	Cytokine receptor unspecific (CRF)
T88505	NFE2L2	Successful	Nuclear factor erythroid 2-related factor 2 (Nrf2)
T89041	CYP17A1	Successful	Steroid 17-alpha-monooxygenase (S17AH)
T89361	CDK6	Successful	Cyclin-dependent kinase 6 (CDK6)
T89515	PDF	Successful	Polypeptide deformylase (PDF)
T89534	ESR1	Successful	Estrogen receptor (ESR)
T90572	IGF2	Clinical trial	Insulin-like growth factor-II (IGF2)
T91331	FGFR3	Successful	Fibroblast growth factor receptor 3 (FGFR3)
T92144	TEK	Clinical trial	Angiopoietin 1 receptor (TEK)
T92494	EEF2K	Successful	Eukaryotic elongation factor 2 kinase (eEF-2K)
T93061	DDX5	Clinical trial	Phosphorylated p68 RNA helicase (pDDX5)
T93062	ABCB4	Clinical trial	Multidrug resistance protein 3 (ABCB4)
T94718	LAG3	Successful	Lymphocyte activation gene 3 protein (LAG3)
T95289	N/A	Clinical trial	Retinoic acid receptor RXR (RXR)
T95385	IL12B	Successful	Interleukin-12 beta (IL12B)
T95899	CLU	Clinical trial	Clusterin messenger RNA (Clusterin mRNA)
T95913	PIK3CG	Successful	PI3-kinase gamma (PIK3CG)
T96079	CXCR4	Successful	C-X-C chemokine receptor type 4 (CXCR4)
T96144	TOP2A; TOP2B	Successful	DNA topoisomerase II (TOP2)
T96623	HSP90AB1	Clinical trial	Heat shock protein 90 beta (HSP90B)
T96788	ERBB2	Clinical trial	ERBB2 messenger RNA (HER2 mRNA)
T96892	MELK	Clinical trial	Maternal embryonic leucine zipper kinase (MELK)
T97136	MKNK1	Clinical trial	MAPK signal-integrating kinase 1 (MKNK1)
T98052	SLAMF7	Successful	SLAM family member 7 SLAMF7 (CS1)
T99160	MKNK2	Clinical trial	MAP kinase signal-integrating kinase 2 (MKNK2)
T99816	GRPR	Clinical trial	Gastrin-releasing peptide receptor (GRPR)
T99840	APH1A; APH1B; NCSTN; PSENEN; PSEN1	Successful	Gamma-secretase (GS)
T99912	KYNU	Preclinical	Kynureninase (KYNU)
T99948	CD274	Successful	Programmed cell death 1 ligand 1 (PD-L1)
